community_id,size,miembros_principales
0,1196,"Federal State Unitary Enterprise “Main Radio Frequency Centre”, Ahya ul Turas, Al-Jihad, RI JE-SON, YUSUF..."
2,1099,"HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHITAI BRANCH, HUBEI HENGDA STEEL STRUCTURE CO., LTD., Julio Enrique Reyna Arreaga, FERGANA RASHONA GOLD, DRC B.V...."
1,906,"AKTSIONERNOE OBSHCHESTVO RT-KHIMICHESKIE TEKHNOLOGII I KOMPOZITSIONNYE MATERIALY, GPB-FACTORING OOO, Stanislav GALIC, Emmerson Dambudzo MNANGAGWA, TRANSNEFT-PRIVOLGA, AO..."
5,838,"Muhammad ABDO ASSAAD, Nihat Abdul Kadir ASAN, JORGE GILBERTO ROMERO LAVALLE, Vitaliy Olegovich VLASOV, Behrouz KAMALIAN..."
4,551,"ASESORES Y ADMINISTRADORES AGRICOLAS, S. DE R.L. DE C.V., ALVA GONZALEZ ARIZBETH, ALEG CONSULTORIA, S.A. DE C.V., ALCANTAR FLORES OSCAR TRINIDAD, ABSYEC CONSULTING, S.A. DE C.V...."
3,368,"GRUPO HAMCER SC DE RL, JYJ S CYC S DE MEXICO SA DE CV, GRUPO PALMAS SA DE CV, SISTEMA DE AGUA POTABLE Y ALCANTARILLADO MUNICIPAL, BLUE JEANS SA DE CV..."
6,1,Engineer Naser RASTKHAH
7,1,CHUL WON KIM
8,1,SUSANA MANTEROLA PIÑA
9,1,REDWOOD TECHNICAL SOLUTIONS INC
